Player,Season,Age,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP
Stephen Curry,2015-16,27,GSW,NBA,17.9,79,79,2700,31.5,0.554,0.25,2.9,13.6,8.6,33.7,3,0.4,12.9,32.6,125,103,13.8,4.1,0.318,12.4,0.1,12.5,9.8
James Harden,2014-15,25,HOU,NBA,16.4,81,81,2981,26.7,0.378,0.561,2.8,14.2,8.5,34.6,2.6,1.6,14.9,31.3,118,103,12.2,4.2,0.265,7.4,1,8.4,7.8
Chris Paul,2014-15,29,LAC,NBA,16.1,82,82,2857,26,0.298,0.274,2.1,12.5,7.4,47.4,2.8,0.4,12.7,23.7,126,105,12.9,3.2,0.27,7.5,0,7.5,6.9
Stephen Curry,2014-15,26,GSW,NBA,15.7,80,80,2613,28,0.482,0.251,2.4,11.4,7,38.6,3,0.5,14.3,28.9,122,101,11.5,4.1,0.288,9.6,0.3,9.9,7.9
James Harden,2017-18,28,HOU,NBA,15.4,72,72,2551,29.8,0.498,0.502,1.8,15.2,8.6,45.1,2.4,1.7,15.1,36.1,120,105,11.6,3.8,0.289,9.6,1.3,10.9,8.3
James Harden,2018-19,29,HOU,NBA,15.2,78,78,2867,30.6,0.539,0.449,2.5,17.8,10,39.5,2.7,1.7,14.5,40.5,118,108,11.4,3.8,0.254,10.5,1.1,11.7,9.9
James Harden,2016-17,27,HOU,NBA,15,81,81,2947,27.4,0.493,0.575,3.5,20.9,12.2,50.7,2,1,19.5,34.2,118,107,11.5,3.6,0.245,8.7,1.5,10.1,9
Kevin Durant,2015-16,27,OKC,NBA,14.5,72,72,2578,28.2,0.348,0.361,2,21.8,12.4,24.2,1.3,2.5,13.5,30.6,122,104,11,3.5,0.27,7,0.9,7.9,6.4
Giannis Antetokounmpo,2018-19,24,MIL,NBA,14.4,72,72,2358,30.9,0.163,0.55,7.3,30,19.3,30.3,1.8,3.9,14.8,32.3,121,99,8.9,5.5,0.292,5.7,5,10.8,7.6
Rudy Gobert,2018-19,26,UTA,NBA,14.4,81,80,2577,24.6,0,0.733,13.2,30.2,21.9,9.6,1.2,5.8,12.1,17.8,133,100,8.7,5.7,0.268,2,5.1,7,5.9
Rudy Gobert,2016-17,24,UTA,NBA,14.3,81,81,2744,23.3,0.002,0.762,13.6,29.5,21.8,5.7,0.9,6.4,15,16.7,129,99,8.3,6,0.25,1.4,4.5,5.8,5.4
Anthony Davis,2014-15,21,NOP,NBA,14,68,68,2455,30.8,0.01,0.384,8,24.1,16.1,11.6,2.1,6.2,6.3,27.8,122,100,9.9,4.2,0.274,4.2,3,7.1,5.7
LeBron James,2017-18,33,CLE,NBA,14,82,82,3026,28.6,0.257,0.336,3.7,22.3,13.1,44.4,1.9,2,16.1,31.6,118,109,11,3,0.221,7.6,2,9.6,8.9
Karl-Anthony Towns,2017-18,22,MIN,NBA,14,82,82,2918,24.9,0.243,0.343,9.3,30.9,20,10.8,1.1,3.5,10.5,22.9,127,107,10.6,3.4,0.23,4.4,1.1,5.5,5.5
Russell Westbrook,2015-16,27,OKC,NBA,14,80,80,2750,27.6,0.236,0.397,6.1,18.1,12.4,49.6,2.9,0.6,16.8,31.6,115,103,10,4,0.245,7.6,2.4,10,8.3
Jimmy Butler,2016-17,27,CHI,NBA,13.8,76,75,2809,25.1,0.198,0.54,4.9,13.2,9,24.8,2.6,0.9,9.3,26.5,123,106,10.1,3.8,0.236,5.8,1.1,6.9,6.3
Anthony Davis,2017-18,24,NOP,NBA,13.7,75,75,2727,28.9,0.111,0.409,7.7,24.8,16.5,10.8,2,5.6,8.6,30,119,102,8.8,4.9,0.241,2.8,2.3,5.2,4.9
Kawhi Leonard,2015-16,24,SAS,NBA,13.7,72,72,2380,26,0.267,0.306,4.7,18.4,11.8,13,2.8,2.3,7.8,25.8,121,96,8.3,5.5,0.277,5.5,2.8,8.3,6.2
LeBron James,2015-16,31,CLE,NBA,13.6,76,76,2709,27.5,0.199,0.347,4.7,18.8,11.8,36,2,1.5,13.2,31.4,116,103,9.6,4,0.242,6.9,2.3,9.1,7.6
Kawhi Leonard,2016-17,25,SAS,NBA,13.6,74,74,2474,27.6,0.295,0.406,3.7,15.7,9.8,18.9,2.7,1.8,9.1,31.1,121,102,8.9,4.7,0.264,6.4,1.5,7.9,6.2
James Harden,2015-16,26,HOU,NBA,13.3,82,82,3125,25.3,0.406,0.518,2.2,15.6,8.8,35.4,2.2,1.4,15.9,32.5,115,108,10.7,2.6,0.204,7.1,-0.4,6.7,6.9
Russell Westbrook,2016-17,28,OKC,NBA,13.1,81,81,2802,30.6,0.3,0.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,112,104,8.5,4.6,0.224,10.9,4.7,15.6,12.4
LeBron James,2016-17,32,CLE,NBA,12.9,74,74,2794,27,0.254,0.395,4,20.7,12.6,41.3,1.6,1.3,16.1,30,119,108,9.8,3,0.221,6.8,1.6,8.4,7.3
DeAndre Jordan,2014-15,26,LAC,NBA,12.8,82,82,2820,21,0.007,0.882,16.2,32.4,24.5,3.2,1.5,5.4,12.8,13.6,126,98,7.4,5.4,0.217,0.9,3.2,4.1,4.3
Chris Paul,2015-16,30,LAC,NBA,12.7,74,74,2420,26.2,0.295,0.294,1.8,12,7,52.7,3.1,0.4,13.4,27.1,119,103,9.2,3.5,0.253,7.3,0.5,7.8,6
Karl-Anthony Towns,2016-17,21,MIN,NBA,12.7,82,82,3030,25.9,0.186,0.289,11.2,27.8,19.4,13.2,0.9,2.9,11.3,27.5,121,110,9.9,2.8,0.201,4.7,0.2,4.9,5.3
Stephen Curry,2016-17,28,GSW,NBA,12.6,79,79,2638,24.6,0.547,0.251,2.7,11.4,7.3,31.2,2.6,0.5,13,30.1,119,105,8.7,3.9,0.229,7.8,-0.4,7.3,6.2
Damian Lillard,2017-18,27,POR,NBA,12.6,73,73,2670,25.2,0.445,0.38,2.6,10.6,6.6,30.9,1.4,0.8,11.1,30.6,120,109,9.9,2.7,0.227,7.7,-1,6.7,5.9
Isaiah Thomas,2016-17,27,BOS,NBA,12.5,76,76,2569,26.5,0.439,0.441,1.9,7,4.4,32.5,1.4,0.4,10.7,34,122,112,10.9,1.6,0.234,8.7,-3.3,5.4,4.8
