Season,Tm,Lg,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%_Team,TOV%_Team,ORB%_Team,FT/FGA_Team,eFG%_Opp,TOV%_Opp,ORB%_Opp,FT/FGA_Opp
2015-16,GSW*,NBA,82,73,9,0.89,10.76,-0.38,10.38,99.3,114.5,103.8,0.563,13.5,23.5,0.191,0.479,12.6,24,0.208
2014-15,GSW*,NBA,82,67,15,0.817,10.1,-0.09,10.01,98.3,111.6,101.4,0.54,13.1,24.1,0.184,0.47,14.3,25.5,0.217
2015-16,SAS*,NBA,82,67,15,0.817,10.63,-0.36,10.28,93.8,110.3,99,0.526,12.4,23,0.197,0.477,14.1,20.9,0.182
2016-17,GSW*,NBA,82,67,15,0.817,11.63,-0.28,11.35,99.8,115.6,104,0.563,13.2,22.8,0.204,0.486,13.5,25.1,0.198
2017-18,HOU*,NBA,82,65,17,0.793,8.48,-0.27,8.21,97.6,114.7,106.1,0.551,12.7,21.3,0.233,0.521,13.4,20.1,0.171
2016-17,SAS*,NBA,82,61,21,0.744,7.2,-0.06,7.13,94.2,111.1,103.5,0.524,12.6,24,0.21,0.492,13.5,22.4,0.192
2014-15,ATL*,NBA,82,60,22,0.732,5.43,-0.68,4.75,93.9,108.9,103.1,0.527,13.5,21.4,0.201,0.492,14.9,26.6,0.185
2018-19,MIL*,NBA,82,60,22,0.732,8.87,-0.82,8.04,103.3,113.8,105.2,0.55,12,20.8,0.197,0.503,11.5,19.7,0.162
2017-18,TOR*,NBA,82,59,23,0.72,7.78,-0.49,7.29,97.4,113.8,105.9,0.539,12.1,23,0.198,0.501,13,22.3,0.212
2017-18,GSW*,NBA,82,58,24,0.707,5.98,-0.19,5.79,99.6,113.6,107.6,0.569,14.1,21,0.195,0.504,12.6,23.7,0.186
2018-19,TOR*,NBA,82,58,24,0.707,6.09,-0.6,5.49,100.2,113.1,107.1,0.543,12.4,21.9,0.198,0.509,13.1,22.9,0.19
2015-16,CLE*,NBA,82,57,25,0.695,6,-0.55,5.45,93.3,110.9,104.5,0.524,12.7,25.1,0.194,0.496,12.6,21.5,0.205
2018-19,GSW*,NBA,82,57,25,0.695,6.46,-0.04,6.42,100.9,115.9,109.5,0.565,12.6,22.5,0.182,0.508,11.7,22.9,0.205
2014-15,HOU*,NBA,82,56,26,0.683,3.44,0.38,3.82,96.5,107,103.4,0.512,15,26.8,0.223,0.486,14.6,27.1,0.208
2014-15,LAC*,NBA,82,56,26,0.683,6.59,0.22,6.8,94.7,112.4,105.5,0.533,11.6,22.8,0.215,0.493,13.2,24.3,0.231
2015-16,TOR*,NBA,82,56,26,0.683,4.5,-0.42,4.08,92.9,110,105.2,0.504,12.3,24.6,0.255,0.498,12.7,22.3,0.201
2014-15,MEM*,NBA,82,55,27,0.671,3.24,0.38,3.62,92,105.7,102.2,0.489,12.6,24.7,0.214,0.492,14.5,24.7,0.183
2014-15,SAS*,NBA,82,55,27,0.671,6.2,0.14,6.34,93.8,108.5,102,0.517,13.1,23.4,0.2,0.484,13.3,22.7,0.19
2015-16,OKC*,NBA,82,55,27,0.671,7.28,-0.19,7.09,96.7,113.1,105.6,0.524,14,31.1,0.228,0.484,11.7,24,0.205
2016-17,HOU*,NBA,82,55,27,0.671,5.77,0.08,5.84,100,114.7,109,0.545,13.3,24.6,0.233,0.519,13.2,24.2,0.194
2017-18,BOS*,NBA,82,55,27,0.671,3.59,-0.35,3.23,96,107.6,103.9,0.518,13,21.5,0.188,0.495,13,21.6,0.191
2018-19,DEN*,NBA,82,54,28,0.659,3.95,0.24,4.19,97.7,113,108.9,0.527,11.9,26.6,0.175,0.521,12.3,22,0.194
2014-15,CLE*,NBA,82,53,29,0.646,4.48,-0.4,4.08,92.3,111.1,106.3,0.52,13.4,26.8,0.216,0.502,12.6,25.3,0.177
2015-16,LAC*,NBA,82,53,29,0.646,4.28,-0.15,4.13,95.8,108.3,103.8,0.524,12.1,20.1,0.22,0.48,13.8,26.2,0.222
2016-17,BOS*,NBA,82,53,29,0.646,2.63,-0.39,2.25,96.8,111.2,108.4,0.525,12.2,21.2,0.22,0.503,12.6,24.7,0.223
2018-19,HOU*,NBA,82,53,29,0.646,4.77,0.19,4.96,97.9,115.5,110.7,0.542,12,22.8,0.221,0.525,13.4,25.6,0.21
2018-19,POR*,NBA,82,53,29,0.646,4.2,0.24,4.43,99.1,114.7,110.5,0.528,12.1,26.6,0.21,0.516,11,22.1,0.195
2017-18,PHI*,NBA,82,52,30,0.634,4.5,-0.2,4.3,99.8,109.5,105,0.535,14.6,25.3,0.198,0.492,12.6,21.4,0.218
