Season,Tm,Lg,G,W,L,W/L%,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015-16,GSW*,NBA,82,73,9,0.89,38.9,89.4,31.1,65.9,7.8,23.5,18.6,24.5,11.4,32.5,43.9,22.2,8.7,4.1,14.5,19.8,104.1
2014-15,GSW*,NBA,82,67,15,0.817,37,86.4,29.7,65,7.2,21.4,18.7,24.5,11.7,32.8,44.5,21,8.3,3.6,16.2,18.8,99.9
2015-16,SAS*,NBA,82,67,15,0.817,35.7,81.8,29.1,61.9,6.6,19.9,14.9,19.6,9.1,31.4,40.5,20.8,7.2,3.9,14.8,19.5,92.9
2016-17,GSW*,NBA,82,67,15,0.817,38.8,89.2,29.8,61.4,9,27.8,17.7,23.2,11.7,31.8,43.5,22.7,8.6,3.8,15.5,19.4,104.3
2017-18,HOU*,NBA,82,65,17,0.793,39.6,85.6,29.5,56.7,10.1,28.8,14.6,19.6,8.7,33.4,42,22.4,7.4,4.4,14.6,20.4,103.9
2016-17,SAS*,NBA,82,61,21,0.744,37,83.4,28.8,59.7,8.1,23.7,16,20.8,9.8,31.7,41.5,21.4,7.5,4.1,14.4,19.8,98.1
2014-15,ATL*,NBA,82,60,22,0.732,36.5,83.1,27.7,57.4,8.8,25.8,15.4,20.1,11.6,32.1,43.6,23.5,7.4,4.9,16.1,19.6,97.1
2018-19,MIL*,NBA,82,60,22,0.732,40.5,93.5,27.4,57.2,13.1,36.3,15.1,20.7,9.9,35.4,45.3,24.8,6.8,4.8,13.4,20.2,109.3
2017-18,TOR*,NBA,82,59,23,0.72,38.4,85.6,29.5,60.6,8.9,25,18.2,23.7,9.8,32.6,42.4,21.8,7.2,4.9,14.3,19.9,103.9
2017-18,GSW*,NBA,82,58,24,0.707,40.2,90,29.8,60.8,10.4,29.2,16.7,22,10.9,31.6,42.5,23.6,8.7,3.7,14.3,18.5,107.5
2018-19,TOR*,NBA,82,58,24,0.707,40.3,89.7,29.5,58.5,10.8,31.2,17.1,22.3,10.6,34.2,44.8,24.5,7.6,4.5,14.9,20.5,108.4
2015-16,CLE*,NBA,82,57,25,0.695,36.8,82.1,28.9,59.4,7.9,22.7,16.8,22.6,9.3,31.8,41,21.4,7.2,4.4,13.3,20.6,98.3
2018-19,GSW*,NBA,82,57,25,0.695,40.4,91.1,28.8,57.5,11.6,33.6,18.7,24.2,10.8,33.5,44.3,24.3,7.7,3.6,13.5,19.5,111.2
2014-15,HOU*,NBA,82,56,26,0.683,37.7,85.2,30.3,62.2,7.4,22.9,17.7,23.6,11.9,32,43.8,21.4,8.9,5.3,16.4,21.1,100.5
2014-15,LAC*,NBA,82,56,26,0.683,36.4,82.3,28.1,58.4,8.3,23.9,19,25.7,10.6,32.3,42.9,23.2,6.7,3,14.3,21.5,100.1
2015-16,TOR*,NBA,82,56,26,0.683,36.5,82.1,27.7,58.7,8.7,23.4,16.5,22.1,9.5,31.2,40.8,21.7,6.5,5.4,13.3,22,98.2
2014-15,MEM*,NBA,82,55,27,0.671,36,81.5,27.9,58.5,8.1,23,14.9,20.1,10.5,31.9,42.4,20.1,7.4,5.2,15.3,20.3,95.1
2014-15,SAS*,NBA,82,55,27,0.671,37.1,83.7,30.3,64.8,6.8,18.9,15.9,21.4,9.9,32.2,42.1,20.7,7.9,4.4,14.2,19.7,97
2015-16,OKC*,NBA,82,55,27,0.671,38.4,87.7,30.3,63.9,8.1,23.8,18,23.8,11.3,28.9,40.2,21.5,8.8,4.5,13,20.2,102.9
2016-17,HOU*,NBA,82,55,27,0.671,41.2,88.9,31.2,59.7,10,29.1,17.3,22.2,10.7,33.4,44.1,24.1,8.5,5,15.1,20.4,109.6
2017-18,BOS*,NBA,82,55,27,0.671,37.4,85,28,57.4,9.4,27.7,16.3,21.3,9.6,34.2,43.8,21.3,7.2,4.4,14.1,19.2,100.4
2018-19,DEN*,NBA,82,54,28,0.659,39.6,86.4,28.8,54.5,10.8,31.9,16.7,22.2,9.7,32.7,42.5,24.6,7.4,5,13.5,20.4,106.7
2014-15,CLE*,NBA,82,53,29,0.646,38.1,83.5,30.3,61,7.7,22.5,14.8,19.9,10.8,30.3,41.1,24.1,7.8,4.5,13.3,20.5,98.7
2015-16,LAC*,NBA,82,53,29,0.646,36.8,84.7,28.9,61.4,7.9,23.3,18.8,25.1,11.8,34.9,46.7,21.2,7.1,3.2,15.4,22.5,100.2
2016-17,BOS*,NBA,82,53,29,0.646,38.6,85.8,29.7,58.8,9,27,19.1,24.9,10.8,33.8,44.5,22.6,7.6,5.2,13.9,20.3,105.4
2018-19,HOU*,NBA,82,53,29,0.646,40.4,86.7,30.3,56.9,10.1,29.8,18.2,23.7,11,34.5,45.4,23.5,7.4,4.5,15,20,109.1
2018-19,POR*,NBA,82,53,29,0.646,41.1,90,30.4,60.3,10.7,29.8,17.5,22.8,10.3,32.6,42.8,23.2,7.4,5.1,12.4,20.7,110.5
2017-18,PHI*,NBA,82,52,30,0.634,38,87.6,27.9,58,10.1,29.6,19.1,25.6,10,32.2,42.2,21.7,8.5,5.1,14.3,20.4,105.3
2014-15,POR*,NBA,82,51,31,0.622,38.2,86.9,31.8,67.9,6.4,18.9,15.8,20.9,11,33.6,44.6,20.4,8,3.6,12.2,18.7,98.6
2016-17,CLE*,NBA,82,51,31,0.622,40.6,88.8,30.3,60.1,10.4,28.7,15.5,20,11,33.2,44.2,24.7,7.3,4.3,12.6,20.6,107.2
2016-17,LAC*,NBA,82,51,31,0.622,38.6,85.4,29.4,59.1,9.2,26.3,18,23.4,10.2,32.9,43.1,23.1,7,3.1,13.2,22.4,104.4
2016-17,TOR*,NBA,82,51,31,0.622,37.2,82.9,27.5,55.6,9.7,27.3,18.5,23.8,10.1,31.9,42.1,21.8,6.7,4.8,14.6,20.3,102.6
2016-17,UTA*,NBA,82,51,31,0.622,36.3,82,28.1,59.1,8.2,22.9,16,20.7,9,31.1,40.2,17.8,7.3,3.8,12.1,20.2,96.8
2018-19,PHI*,NBA,82,51,31,0.622,41.7,91.5,31.4,61.5,10.3,30,18.8,24.5,10,33.5,43.5,23.4,7.7,4.1,12.7,22.1,112.5
2014-15,CHI*,NBA,82,50,32,0.61,37.7,86.7,31.2,67.1,6.6,19.6,15.7,21,11.7,31.7,43.4,20.2,7.5,5.4,12.2,21.2,97.8
2014-15,DAL*,NBA,82,50,32,0.61,38,84.5,29,59.7,9,24.8,17.3,22.9,12.3,33.9,46.1,22.3,7.3,3.8,16.3,22.1,102.3
2017-18,CLE*,NBA,82,50,32,0.61,41.8,88.3,30.2,56.6,11.7,31.7,14.6,19.4,9.9,33.7,43.6,25.9,7.5,4.1,13.5,20.7,109.9
2018-19,UTA*,NBA,82,50,32,0.61,40,88.5,30.1,60.7,9.8,27.7,16.7,22.2,8.9,33.7,42.6,21.6,8.5,4.6,13.9,22.4,106.5
2014-15,TOR*,NBA,82,49,33,0.598,38,82.8,30.3,60.5,7.7,22.3,17.2,23.5,11.2,31.2,42.5,22.8,6.9,5,14.4,20.3,100.9
2016-17,WAS*,NBA,82,49,33,0.598,39.7,85.1,29.8,58,9.9,27.1,18.2,24.2,10.6,32.5,43,22.8,7.4,4.6,15.3,19.8,107.4
2017-18,POR*,NBA,82,49,33,0.598,38.4,85.9,28.7,59.3,9.7,26.6,16.6,22,9.3,33.6,42.9,20.2,7.3,5.1,12.6,19.1,103
2018-19,BOS*,NBA,82,49,33,0.598,39.5,88.1,28,54.6,11.5,33.5,17.4,22.8,10.4,35.5,45.9,23.7,6.8,3.9,15.1,19.5,108
