Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015-16,GSW*,NBA,82,73,9,0.89,242.4,42.5,87.3,29.4,55.7,13.1,31.6,16.7,21.8,10,36.2,46.2,28.9,8.4,6.1,15.2,20.7,114.9
2014-15,GSW*,NBA,82,67,15,0.817,240.6,41.6,87,30.8,60,10.8,27,16,20.8,10.4,34.3,44.7,27.4,9.3,6,14.5,19.9,110
2015-16,SAS*,NBA,82,67,15,0.817,240.3,40.1,82.9,33.2,64.4,7,18.5,16.4,20.4,9.4,34.5,43.9,24.5,8.3,5.9,13.1,17.5,103.5
2016-17,GSW*,NBA,82,67,15,0.817,241.2,43.1,87.1,31.1,55.8,12,31.2,17.8,22.6,9.4,35,44.4,30.4,9.6,6.8,14.8,19.3,115.9
2017-18,HOU*,NBA,82,65,17,0.793,240.9,38.7,84.2,23.4,41.9,15.3,42.3,19.6,25.1,9,34.5,43.5,21.5,8.5,4.8,13.8,19.5,112.4
2016-17,SAS*,NBA,82,61,21,0.744,241.5,39.3,83.7,30.1,60.2,9.2,23.5,17.6,22,10,33.9,43.9,23.8,8,5.9,13.4,18.3,105.3
2014-15,ATL*,NBA,82,60,22,0.732,240.6,38.1,81.7,28.1,55.5,10,26.2,16.5,21.2,8.7,31.8,40.6,25.7,9.1,4.6,14.2,17.8,102.5
2018-19,MIL*,NBA,82,60,22,0.732,241.2,43.4,91.1,29.9,52.9,13.5,38.2,17.9,23.2,9.3,40.4,49.7,26,7.5,5.9,13.9,19.6,118.1
2017-18,TOR*,NBA,82,59,23,0.72,241.8,41.3,87.4,29.5,54.4,11.8,33,17.3,21.8,9.8,34.2,44,24.3,7.6,6.1,13.4,21.7,111.7
2017-18,GSW*,NBA,82,58,24,0.707,240.6,42.8,85.1,31.5,56.2,11.3,28.9,16.6,20.3,8.4,35.1,43.5,29.3,8,7.5,15.5,19.6,113.5
2018-19,TOR*,NBA,82,58,24,0.707,242.4,42.2,89.1,29.8,55.3,12.4,33.8,17.7,22,9.6,35.6,45.2,25.4,8.3,5.3,14,21,114.4
2015-16,CLE*,NBA,82,57,25,0.695,242.1,38.7,84,27.9,54.4,10.7,29.6,16.3,21.7,10.6,33.9,44.5,22.7,6.7,3.9,13.6,20.3,104.3
2018-19,GSW*,NBA,82,57,25,0.695,241.5,44,89.8,30.8,55.3,13.3,34.4,16.3,20.4,9.7,36.5,46.2,29.4,7.6,6.4,14.3,21.4,117.7
2014-15,HOU*,NBA,82,56,26,0.683,241.5,37,83.3,25.6,50.6,11.4,32.7,18.6,26,11.7,32,43.7,22.2,9.5,5,16.7,22,103.9
2014-15,LAC*,NBA,82,56,26,0.683,240.6,39.4,83.3,29.3,56.4,10.1,26.9,17.9,25.2,9.6,33.1,42.6,24.8,7.8,5,12.3,21.3,106.7
2015-16,TOR*,NBA,82,56,26,0.683,241.2,36.7,81.3,28,58,8.6,23.4,20.8,26.7,10.2,33.2,43.4,18.7,7.8,5.5,13.1,19.6,102.7
2014-15,MEM*,NBA,82,55,27,0.671,242.7,37.8,82.5,32.6,67.3,5.2,15.2,17.6,22.8,10.4,32.1,42.6,21.7,8.5,4.2,13.3,19.1,98.3
2014-15,SAS*,NBA,82,55,27,0.671,243.4,39.1,83.6,30.9,61.1,8.3,22.5,16.7,21.4,9.8,33.8,43.6,24.4,8,5.4,14,19.1,103.2
2015-16,OKC*,NBA,82,55,27,0.671,241.8,41.1,86.4,32.9,62.6,8.3,23.7,19.7,25.2,13.1,35.6,48.6,23,7.4,5.9,15.9,20.6,110.2
2016-17,HOU*,NBA,82,55,27,0.671,241.2,40.3,87.2,25.9,46.9,14.4,40.3,20.3,26.5,10.9,33.5,44.4,25.2,8.2,4.3,15.1,19.9,115.3
2017-18,BOS*,NBA,82,55,27,0.671,241.5,38.3,85.1,26.9,54.7,11.5,30.4,16,20.7,9.4,35.1,44.5,22.5,7.4,4.5,14,19.7,104
2018-19,DEN*,NBA,82,54,28,0.659,240.6,41.9,90,30.9,58.7,11,31.4,15.8,20.9,11.9,34.5,46.4,27.4,7.7,4.4,13.4,20,110.7
2014-15,CLE*,NBA,82,53,29,0.646,241.2,37.7,82.2,27.6,54.7,10.1,27.5,17.7,23.6,11.1,31.9,43,22.1,7.4,4.1,14.3,18.4,103.1
2015-16,LAC*,NBA,82,53,29,0.646,241.8,38.3,82.4,28.6,55.7,9.7,26.7,18.2,26.2,8.8,33.3,42,22.8,8.6,5.6,13,21.3,104.5
2016-17,BOS*,NBA,82,53,29,0.646,240.9,38.6,85.1,26.6,51.7,12,33.4,18.7,23.2,9.1,32.9,42,25.2,7.5,4.1,13.3,20.6,108
2018-19,HOU*,NBA,82,53,29,0.646,241.8,39.2,87.4,23.1,42,16.1,45.4,19.3,24.4,10.2,31.9,42.1,21.2,8.5,4.9,13.3,22,113.9
2018-19,POR*,NBA,82,53,29,0.646,242.1,42.3,90.6,31.3,59.8,11,30.7,19,23.3,11.8,36.2,48,23,6.7,5,13.8,20.4,114.7
2017-18,PHI*,NBA,82,52,30,0.634,241.2,40.8,86.6,29.9,56.7,11,29.8,17.1,22.8,10.9,36.5,47.4,27.1,8.3,5.1,16.5,22.1,109.8
2014-15,POR*,NBA,82,51,31,0.622,242.1,38.7,86,28.9,58.8,9.8,27.2,15.5,19.4,10.7,35.1,45.9,21.9,6.4,4.5,13.6,18.2,102.8
2016-17,CLE*,NBA,82,51,31,0.622,242.4,39.9,84.9,26.9,51,13,33.9,17.5,23.3,9.3,34.4,43.7,22.7,6.6,4,13.7,18.1,110.3
2016-17,LAC*,NBA,82,51,31,0.622,240.9,39.5,83.2,29.3,55.8,10.3,27.4,19.3,26,9,34,43,22.5,7.5,4.2,13,19.8,108.7
2016-17,TOR*,NBA,82,51,31,0.622,241.2,39.2,84.4,30.3,60,8.8,24.3,19.7,24.7,10.6,32.6,43.3,18.5,8.3,4.9,12.7,20.8,106.9
2016-17,UTA*,NBA,82,51,31,0.622,240.9,37,79.5,27.3,53.5,9.6,26,17.1,22.9,9.4,33.8,43.2,20.1,6.7,5,13.6,18.8,100.7
2018-19,PHI*,NBA,82,51,31,0.622,241.5,41.5,88.2,30.7,58,10.8,30.2,21.2,27.5,10.9,36.9,47.8,26.9,7.4,5.3,14.9,21.3,115.2
2014-15,CHI*,NBA,82,50,32,0.61,242.4,36.6,82.9,28.7,60.6,7.9,22.3,19.7,25.2,11.7,34,45.7,21.7,6.3,5.8,14,18.2,100.8
2014-15,DAL*,NBA,82,50,32,0.61,242.4,39.7,85.8,30.8,60.4,8.9,25.4,16.9,22.5,10.5,31.8,42.3,22.5,8.1,4.5,13,20,105.2
2017-18,CLE*,NBA,82,50,32,0.61,240.6,40.4,84.8,28.4,52.6,12,32.1,18.1,23.3,8.5,33.7,42.1,23.4,7.1,3.8,13.7,18.6,110.9
2018-19,UTA*,NBA,82,50,32,0.61,240.9,40.4,86.4,28.3,52.4,12.1,34,18.8,25.5,10,36.4,46.4,26,8.1,5.9,15.1,21.1,111.7
2014-15,TOR*,NBA,82,49,33,0.598,242.1,37.9,83.3,29,58.2,8.9,25.1,19.3,24.6,10.7,30.8,41.5,20.7,7.5,4.4,12.9,20.9,104
2016-17,WAS*,NBA,82,49,33,0.598,242.1,41.3,87,32.1,62.3,9.2,24.8,17.3,22.1,10.3,32.6,42.9,23.9,8.5,4.1,14.2,21.3,109.2
2017-18,POR*,NBA,82,49,33,0.598,240.9,39.3,87,29,58.8,10.3,28.1,16.7,20.9,10.2,35.3,45.5,19.5,7,5.2,13.5,19.5,105.6
2018-19,BOS*,NBA,82,49,33,0.598,241.2,42.1,90.5,29.5,56,12.6,34.5,15.6,19.5,9.8,34.7,44.5,26.3,8.6,5.3,12.8,20.4,112.4
2018-19,OKC*,NBA,82,49,33,0.598,242.1,42.6,94,31.3,61.3,11.4,32.6,17.8,25,12.6,35.5,48.1,23.4,9.3,5.2,14,22.4,114.5
2015-16,ATL*,NBA,82,48,34,0.585,241.8,38.6,84.4,28.7,56.1,9.9,28.4,15.6,20,8.3,33.8,42.1,25.6,9.1,5.9,15,19.1,102.8
2015-16,BOS*,NBA,82,48,34,0.585,241.2,39.2,89.2,30.5,63.1,8.7,26.1,18.5,23.5,11.6,33.3,44.9,24.2,9.2,4.2,13.7,21.9,105.7
2015-16,CHO*,NBA,82,48,34,0.585,242.1,37,84.4,26.4,55,10.6,29.4,18.7,23.7,9,35,43.9,21.7,7.3,5.3,12.6,18.1,103.4
2015-16,MIA*,NBA,82,48,34,0.585,241.8,38.4,81.7,32.3,63.6,6.1,18,17.1,23,9.8,34.3,44.1,20.8,6.7,6.5,14.1,18.3,100
2017-18,IND*,NBA,82,48,34,0.585,240.9,40.8,86.4,31.8,61.9,9,24.5,14.9,19.2,9.6,32.7,42.3,22.2,8.8,4.1,13.3,18.8,105.6
2017-18,NOP*,NBA,82,48,34,0.585,243.4,42.7,88.3,32.5,60.1,10.2,28.2,16.1,20.9,8.7,35.7,44.3,26.8,8,5.9,14.9,19.1,111.7
2017-18,OKC*,NBA,82,48,34,0.585,241.8,39.9,88.1,29.1,57.7,10.7,30.4,17.3,24.2,12.5,32.6,45.1,21.3,9.1,5,14,20.2,107.9
2017-18,UTA*,NBA,82,48,34,0.585,240.9,38.3,82.9,27.5,53.3,10.8,29.6,16.8,21.5,9,34.2,43.3,22.4,8.6,5.1,14.7,19.6,104.1
2018-19,IND*,NBA,82,48,34,0.585,240.3,41.3,87,31.8,61.6,9.5,25.4,15.8,21.1,9.3,33.7,43,26,8.7,4.9,13.7,19.4,108
2018-19,LAC*,NBA,82,48,34,0.585,241.8,41.3,87.5,31.3,61.7,10,25.8,22.6,28.5,9.7,35.8,45.5,24,6.8,4.7,14.5,23.3,115.1
2018-19,SAS*,NBA,82,48,34,0.585,241.5,42.3,88.4,32.4,63.1,9.9,25.3,17.2,21,9.2,35.5,44.7,24.5,6.1,4.7,12.1,18.1,111.7
2016-17,OKC*,NBA,82,47,35,0.573,241.5,39.5,87.4,31,61.6,8.4,25.8,19.2,25.8,12.2,34.4,46.6,21,7.9,5,15,20.9,106.6
2017-18,MIN*,NBA,82,47,35,0.573,241.5,41,86.1,33,63.6,8,22.5,19.4,24.1,10.3,31.6,42,22.7,8.4,4.2,12.5,18.2,109.5
2017-18,SAS*,NBA,82,47,35,0.573,240.6,39,85.4,30.6,61.2,8.5,24.1,16.1,20.9,10.4,33.9,44.2,22.8,7.7,5.6,13.1,17.2,102.7
2014-15,WAS*,NBA,82,46,36,0.561,243.4,38.3,82.8,32.2,66,6.1,16.8,15.9,21.4,10.5,34.2,44.7,24,7.3,4.6,15,20.8,98.5
2017-18,DEN,NBA,82,46,36,0.561,242.4,40.7,86.6,29.2,55.7,11.5,30.9,17.1,22.3,11,33.5,44.5,25.1,7.6,4.9,15,18.7,110
2014-15,NOP*,NBA,82,45,37,0.549,241.2,37.9,82.9,30.8,63.6,7.1,19.3,16.4,21.8,11.5,32,43.5,22,6.7,6.2,13.3,18.7,99.4
2014-15,OKC,NBA,82,45,37,0.549,241.8,38.8,86.8,31.1,64.1,7.7,22.7,18.6,24.6,12.8,34.7,47.5,20.5,7.3,5.5,14.7,22.3,104
2015-16,IND*,NBA,82,45,37,0.549,242.4,38.3,85.2,30.2,62.1,8.1,23,17.4,22.8,10.3,33.9,44.2,21.2,9,4.8,14.9,20,102.2
2015-16,DET*,NBA,82,44,38,0.537,242.4,37.9,86.4,28.9,60.2,9,26.2,17.1,25.5,12.5,33.9,46.3,19.4,7,3.7,13.5,19,102
2015-16,POR*,NBA,82,44,38,0.537,241.5,38.6,85.9,28.1,57.4,10.5,28.5,17.4,23,11.6,33.9,45.5,21.3,6.9,4.6,14.6,21.7,105.1
2017-18,MIA*,NBA,82,44,38,0.537,243,38.8,85.3,27.8,54.8,11,30.6,14.7,19.5,9.3,34.2,43.5,22.7,7.6,5.3,14.4,20.1,103.4
2017-18,MIL*,NBA,82,44,38,0.537,241.8,39.7,83,31,58.3,8.8,24.7,18.3,23.4,8.4,31.5,39.8,23.2,8.8,5.4,13.8,21.4,106.5
2016-17,ATL*,NBA,82,43,39,0.524,242.4,38.1,84.4,29.2,58.3,8.9,26.1,18.1,24.9,10.3,34.1,44.3,23.6,8.2,4.8,15.8,18.2,103.2
2016-17,MEM*,NBA,82,43,39,0.524,242.7,36.4,83.6,27,57.1,9.4,26.5,18.3,23.4,10.8,32,42.8,21.3,8,4.2,12.9,22.4,100.5
2017-18,WAS*,NBA,82,43,39,0.524,242.1,39.9,85.6,30,59.1,9.9,26.5,16.8,21.8,10,33.1,43.1,25.2,7.9,4.3,14.6,21.3,106.6
2015-16,CHI,NBA,82,42,40,0.512,242.7,38.6,87.4,30.7,66.1,7.9,21.4,16.5,21,11.1,35.2,46.3,22.8,6,5.7,13.9,18.8,101.6
2015-16,DAL*,NBA,82,42,40,0.512,244,37.4,84.1,27.5,55.6,9.8,28.6,17.7,22.3,9.2,33.9,43.1,22.1,6.8,3.7,12.8,19.5,102.3
2015-16,MEM*,NBA,82,42,40,0.512,241.8,36.8,83.6,30.7,65.1,6.1,18.5,19.3,24.7,11.2,30.5,41.6,20.7,8.8,4.3,13.3,21.7,99.1
2016-17,IND*,NBA,82,42,40,0.512,242.1,39.3,84.5,30.6,61.5,8.6,23,17.9,22.1,9,33,42,22.5,8.2,5,13.8,19.5,105.1
2016-17,MIL*,NBA,82,42,40,0.512,241.2,38.8,81.9,30,58.2,8.8,23.7,17.2,22.4,8.8,31.6,40.4,24.2,8.1,5.3,14,20.2,103.6
2017-18,LAC,NBA,82,42,40,0.512,240.3,40.3,85.4,30.8,58.6,9.5,26.8,19,25.5,10.1,33.7,43.9,22.3,7.7,4.5,14.7,20,109
2018-19,BRK*,NBA,82,42,40,0.512,243.7,40.3,89.7,27.5,53.6,12.8,36.2,19,25.5,11,35.6,46.6,23.8,6.6,4.1,15.1,21.5,112.3
2018-19,ORL*,NBA,82,42,40,0.512,241.2,40.4,89.1,29,57,11.4,32.1,15,19.2,10,35.4,45.4,25.5,6.6,5.4,13.2,18.6,107.3
2014-15,MIL*,NBA,82,41,41,0.5,243,37.6,82,31,63.7,6.6,18.3,16,21.1,10.7,31.4,42.1,23.6,9.6,4.9,16.7,22.1,97.8
2015-16,HOU*,NBA,82,41,41,0.5,241.8,37.7,83.5,27,52.6,10.7,30.9,20.4,29.4,11.3,31.7,43.1,22.2,10,5.2,15.9,21.8,106.5
2015-16,WAS,NBA,82,41,41,0.5,240.9,39.5,85.8,30.8,61.6,8.6,24.2,16.5,22.5,9.1,32.8,41.8,24.5,8.6,3.9,14.5,20.8,104.1
2016-17,CHI*,NBA,82,41,41,0.5,241.2,38.6,87.1,31,64.8,7.6,22.3,18,22.5,12.2,34.1,46.3,22.6,7.8,4.8,13.6,17.7,102.9
2016-17,MIA,NBA,82,41,41,0.5,241.2,39,85.8,29.2,58.8,9.9,27,15.2,21.6,10.6,33,43.6,21.2,7.2,5.7,13.4,20.5,103.2
2016-17,POR*,NBA,82,41,41,0.5,243,39.5,86.1,29.2,58.4,10.4,27.7,18.5,23.7,10.1,33.5,43.7,21.1,7,5,13.7,21.2,107.9
2018-19,DET*,NBA,82,41,41,0.5,242.1,38.8,88.3,26.7,53.5,12.1,34.8,17.3,23.1,11.4,33.6,45,22.5,6.9,4,13.8,22.1,107
2014-15,BOS*,NBA,82,40,42,0.488,242.4,38.9,87.9,30.9,63.3,8,24.6,15.4,20.5,11.1,32.7,43.8,24.5,8.2,3.6,13.8,21.2,101.4
2015-16,UTA,NBA,82,40,42,0.488,243.4,36.1,80.4,27.6,56.5,8.5,23.9,17.1,23,10.7,32.5,43.2,19,7.7,5.2,14.9,20.2,97.7
2016-17,DEN,NBA,82,40,42,0.488,240.9,41.2,87.7,30.6,58.9,10.6,28.8,18.7,24.2,11.8,34.6,46.4,25.3,6.9,3.9,15,19.1,111.7
2014-15,PHO,NBA,82,39,43,0.476,242.4,38.8,85.8,30.2,60.9,8.5,25,16.4,21.5,10.9,32.2,43.2,20.2,8.5,4.7,15.1,21.3,102.4
2017-18,DET,NBA,82,39,43,0.476,241.5,39.1,86.9,28.3,58,10.8,28.9,14.7,19.8,10.1,33.6,43.7,22.8,7.7,3.9,13.5,18.4,103.8
2018-19,CHO,NBA,82,39,43,0.476,241.8,40.2,89.8,28.3,55.8,11.9,33.9,18.4,23.1,9.9,33.9,43.8,23.2,7.2,4.9,12.2,18.9,110.7
2018-19,MIA,NBA,82,39,43,0.476,240.6,39.6,88,28.3,55.6,11.3,32.4,15.1,21.7,11.2,35.1,46.3,24.3,7.6,5.5,14.7,20.9,105.7
2018-19,SAC,NBA,82,39,43,0.476,240.6,43.2,93.1,31.9,63.2,11.3,29.9,16.5,22.7,11,34.4,45.4,25.4,8.3,4.4,13.4,21.4,114.2
2014-15,BRK*,NBA,82,38,44,0.463,243,37.4,83,30.8,63.1,6.6,19.9,16.6,22.2,10.3,32,42.4,20.9,7,4.1,13.8,19.3,98
2014-15,IND,NBA,82,38,44,0.463,242.1,36.6,83.2,29.1,62,7.5,21.2,16.7,22.2,10.4,34.4,44.9,21.4,6.2,4.6,14,21.2,97.3
2014-15,UTA,NBA,82,38,44,0.463,240.3,35.4,79.2,27.9,57.5,7.4,21.7,17,23.5,12,31.9,44,19.9,7.6,6,15.3,19.3,95.1
2014-15,MIA,NBA,82,37,45,0.451,240.6,35.2,77.2,28.4,57,6.8,20.2,17.5,23.7,9.1,30,39.1,19.8,7.8,4.5,14.8,20,94.7
2016-17,DET,NBA,82,37,45,0.451,241.5,39.9,88.8,32.2,65.5,7.7,23.4,13.9,19.3,11.1,34.6,45.7,21.1,7,3.8,11.9,17.9,101.3
2018-19,LAL,NBA,82,37,45,0.451,241.2,42.6,90.6,32.2,59.6,10.3,31,16.3,23.3,10.2,36.4,46.6,25.6,7.5,5.4,15.7,20.7,111.8
2016-17,CHO,NBA,82,36,46,0.439,241.8,37.7,85.4,27.7,56.7,10,28.6,19.4,23.8,8.8,34.8,43.6,23.1,7,4.8,11.5,16.6,104.9
2017-18,CHO,NBA,82,36,46,0.439,241.2,39,86.7,28.9,59.4,10,27.2,20.2,27,10.1,35.4,45.5,21.6,6.8,4.5,12.7,17.2,108.2
